title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Ballabhpurer Roopkotha,tt23024514,2022.0,"Ballabhpurer Roopkotha is a 2022 Indian Bengali language supernatural comedy drama film directed by Anirban Bhattacharya in his feature directorial debut, based on the 1954 eponymous play by Badal Sarkar. It follows a debt-laden royal scion as he tries to pay off creditors by selling his ancestral palace, while trying to hide a potentially deal-breaking secret. The plot was originally inspired by the film The Ghost Goes West by René Clair. The film was released on 25 October 2022 under the banner of Shree Venkatesh Films. It received strongly positive reviews, and was a box office success.",Anirban Bhattacharya; Surangana Bandyopadhyay,2020.0,2,True,Bengali
Cirkus (film),tt11112808,2022.0,"Cirkus is a 2022 Indian Hindi-language period comedy-drama film directed and produced by Rohit Shetty. The film is jointly produced by Rohit Shetty Pictures and T-Series. The film stars Ranveer Singh and Varun Sharma in dual roles alongside Pooja Hegde, Jacqueline Fernandez, Johny Lever, Sanjay Mishra. In the film, two sets of identical twins mixed up at birth encounter each other as adults.",Bhushan Kumar; Rohit Shetty,2020.0,2,True,Hindi
Vinodhaya Sitham,tt15528002,2021.0,"Vinodhaya Sitham is a 2021 Indian Tamil-language fantasy comedy drama film directed by Samuthirakani and produced by Abirami Media Works. The film stars Thambi Ramaiah and Samuthirakani. It was released on 13 October 2021 on ZEE5, and received critical acclaim. The film was remade in Telugu as Bro (2023) by the same director. The film is based on the 2004 stage play of the same name by Sreevathson.",Balaji Mohan; Deepak Dinkar; Hari Krishnan; Jayaprakash; Munishkanth; Namo Narayana; Samuthirakani; Sanchita Shetty; Sriranjini; Thambi Ramaiah,2020.0,10,True,Tamil
Ramprasad Ki Tehrvi,tt10196464,2019.0,"Ramprasad Ki Tehrvi is a 2019 Indian Hindi-language family drama film directed by Seema Pahwa and produced by Jio Studios and Drishyam Films. It features an ensemble cast of Naseeruddin Shah, Vikrant Massey, Konkona Sen Sharma, Parambrata Chatterjee, Vinay Pathak, Supriya Pathak, Manoj Pahwa, and Vineet Kumar. The film also marks the directorial debut for actress Seema Pahwa, who also wrote the film, based on her own play, Pind Daan.",Seema Bhargav,2010.0,1,True,Hindi
Aa Karaala Ratri,tt8043456,2018.0,Aa Karaala Ratri is a 2018 Indian Kannada-language thriller film directed and produced by Dayal Padmanabhan. The film is based on a Kannada play by Mohan Habbu which was translated from the tragic English play Lithuania by Rupert Brooke.,Dayal Padmanabhan,2010.0,1,True,Kannada
Aapla Manus,tt7867076,2018.0,"Aapla Manus is a 2018 Indian Marathi language mystery film directed by Satish Rajwade and produced by Ajay Devgn and Abhinav Shukla. A film adaptation of the Marathi play Katkon Trikon by Dr Vivek Bele, the film stars Nana Patekar, Iravati Harshe and Sumeet Raghavan in the lead roles and is Devgn's first Marathi film as a producer. It was released on 9 February 2018. Devgn announced the film via his Twitter handle on 24 December.",Ajay Devgn; Iravati Harshe; Nana Patekar; Satish Rajwade; Sumeet Raghavan,2010.0,5,True,Marathi
Hamid (film),tt7527082,2018.0,"Hamid is an Indian drama film directed by Aijaz Khan. The film stars Rasika Dugal, Vikas Kumar and Talha Arshad Reshi in major roles, and is an adaptation of the play Phone No. 786 by Mohd. Amin Bhat. The story revolves around a seven-year-old Hamid who learns that 786 is God's number and decides to try and reach out to God by dialing this number. He wants to talk to his father, who his classmate tells him has gone to Allah. One fine day the phone call is answered, and two lives shattered in the strife of Kashmir find a way to be complete again. The film is produced by Yoodlee Films, a venture of Saregama. The official trailer was released on 10 October 2018. Global premiere of Hamid was held at the Jio MAMI 20th Mumbai Film Festival. The film went on to win the National Film Award for Best Feature Film in Urdu at the 66th National Film Awards hosted in December 2019.",,2010.0,0,True,
Helicopter Eela,tt8427036,2018.0,"Helicopter Eela is a 2018 Indian Hindi-language comedy-drama film directed by Pradeep Sarkar. It features Kajol in the lead role as an aspiring singer and single mother Helicopter parent and is written by Mitesh Shah and Anand Gandhi. It is based on the Gujarati play Beta, Kaagdo, written by Anand Gandhi.",Ajay Devgn; Kajol; Pradeep Sarkar,2010.0,3,True,Hindi
Ittefaq (2017 film),tt6692354,2018.0,"Ittefaq is a 2017 Indian Hindi-language neo-noir mystery thriller film directed by Abhay Chopra, written by Chopra, Shreyas Jain and Nikhil Mehrotra, and produced by Gauri Khan and Shah Rukh Khan under Red Chillies Entertainment in association with Renu Ravi Chopra under B. R. Studios and Hiroo Yash Johar and Karan Johar under Dharma Productions. An adaptation of the eponymous 1969 film by Yash Chopra, the film stars Akshaye Khanna, Sidharth Malhotra and Sonakshi Sinha, and has a Rashomon effect storytelling style.",Akshaye Khanna; Gauri Khan; Karan Johar; Mandira Bedi; Sameer Sharma; Shah Rukh Khan; Sidharth Malhotra; Sonakshi Sinha,2010.0,8,True,Hindi
102 Not Out,tt6580564,2017.0,102 Not Out is a 2018 Indian Hindi-language comedy drama film directed by Umesh Shukla and written by Saumya Joshi. The film stars Amitabh Bachchan and Rishi Kapoor in lead roles portraying father-son duo for the first time. It also stars Jimit Trivedi in a supporting role.,Amitabh Bachchan; Bhushan Kumar; Rishi Kapoor; Saumya Joshi; Umesh Shukla,2010.0,5,True,Hindi
