title,imdb_id,year,summary,people,decade,people_count,has_summary,language
All We Imagine as Light,tt32086077,2025.0,"All We Imagine as Light is a 2024 drama film written and directed by Payal Kapadia. The cast includes Kani Kusruti, Divya Prabha, Chhaya Kadam and Hridhu Haroon. Featuring Malayalam, Hindi, and Marathi dialogue, it is an international co-production involving companies from France, India, Netherlands, Luxembourg and Italy.",Chhaya Kadam; Divya Prabha; Kani Kusruti; Payal Kapadia; Ranabir Das; Thomas Hakim,2020.0,6,True,
Chaurya Paatham,tt31311161,2025.0,,Trinadha Rao Nakkina,2020.0,1,False,
Chhaava,tt27922706,2025.0,"Chhaava is a 2025 Indian Hindi-language historical action film based on the life of Sambhaji Maharaj, the second ruler of the Maratha Empire, who is played by Vicky Kaushal. An adaptation of the Marathi novel Chhava by Shivaji Sawant, it is directed by Laxman Utekar and produced by Dinesh Vijan under Maddock Films. The cast also includes Akshaye Khanna and Rashmika Mandanna.",Akshaye Khanna; Ashutosh Rana; Diana Penty; Divya Dutta; Laxman Utekar; Neil Bhoopalam; Rashmika Mandanna; Vicky Kaushal; Vineet Kumar Singh,2020.0,9,True,Hindi
Deva (2025 film),tt27852049,2025.0,,Bobby-Sanjay; Charu Shankar; Girish Kulkarni; Kishori Shahane; Kubra Sait; Pavail Gulati; Pooja Hegde; Pravesh Rana; Rosshan Andrrews; Shahid Kapoor; Upendra Limaye,2020.0,11,False,
Mrs. (film),tt27032419,2025.0,,,2020.0,0,False,
Noah's Ark (2024 film),tt8637446,2025.0,,Caio Gullane; Fabiano Gullane; Sérgio Machado; Walter Salles,2020.0,4,False,
Parama: A Journey with Aparna Sen,tt31416811,2025.0,,,2020.0,0,False,
Phule (film),tt21108804,2025.0,,Alexx O'Nell; Amit Behl; Anant Mahadevan; Darsheel Safary; Joy Sengupta; Patralekha; Pratik Gandhi; Sushil Pandey; Vinay Pathak,2020.0,9,False,
Puratawn,tt36557508,2025.0,,Indraneil Sengupta; Rituparna Sengupta; Sharmila Tagore; Subhrajit Dutta; Suman Ghosh,2020.0,5,False,
Rabindra Kabya Rahasya,tt29706411,2025.0,,Ritwick Chakraborty; Sayantan Ghosal; Srabanti Chatterjee,2020.0,3,False,
Shadowbox (film),tt35503482,2025.0,,Saumyananda Sahi; Tanushree Das,2020.0,2,False,
Shotyi Bole Shotyi Kichhu Nei,tt35118088,2025.0,"Shotyi Bole Shotyi Kichhu Nei, also known by the initialism SBSKN, is a 2025 Indian Bengali-language legal thriller film written and directed by Srijit Mukherji. Produced by Shrikant Mohta and Mahendra Soni under the banner of Shree Venkatesh Films, the film is an official adaptation of the 1986 Hindi film Ek Ruka Hua Faisla, which is itself a remake of the American film 12 Angry Men (1957) directed by Sidney Lumet, which was an adaptation from a 1954 teleplay of the same name by Reginald Rose. It stars an ensemble cast of Kaushik Ganguly, Parambrata Chatterjee, Kaushik Sen, Ritwick Chakraborty, Anirban Chakrabarti, Ananya Chatterjee, Arjun Chakrabarty, Rahul Banerjee, Sauraseni Maitra, Kanchan Mullick, Phalguni Chatterjee and Suhotra Mukhopadhyay.",Ananya Chatterjee; Anirban Chakraborty; Arjun Chakrabarty; Kanchan Mullick; Kaushik Ganguly; Kaushik Sen; Koushik Kar; Parambrata Chatterjee; Rahul Banerjee; Ritwick Chakraborty; Sauraseni Maitra; Srijit Mukherji,2020.0,12,True,Bengali
Sneaks (film),tt9254940,2025.0,,Chris Jenkins; Laurence Fishburne; Rob Edwards,2020.0,3,False,
The Delhi Files,tt15416342,2025.0,,Abhishek Agarwal; Anupam Kher; Babbu Maan; Mithun Chakraborty; Mohan Kapur; Namashi Chakraborty; Pallavi Joshi; Puneet Issar; Vivek Agnihotri,2020.0,9,False,
The Storyteller (2022 film),tt7782402,2025.0,,Adil Hussain; Anant Mahadevan; Paresh Rawal,2020.0,3,False,
35 Chinna Katha Kaadu,tt32750432,2024.0,"35 Chinna Katha Kaadu is a 2024 Indian Telugu-language comedy drama film written and directed by Nanda Kishore Emani in his directorial debut. The film features Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda and Priyadarshi Pulikonda in lead roles. The film was released on 6 September 2024 to positive reviews from critics.",,2020.0,0,True,Telugu
7/G,tt28755920,2024.0,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat. The film was released on 5 July 2024 to mixed-to-negative reviews.,Haroon,2020.0,1,True,Tamil
Aakhir Palaayan Kab Tak,tt31024654,2024.0,"Aakhir Palaayan Kab Tak is a 2024 Hindi drama film that was released on 16 February 2024. Directed and written by Mukul Vikram, the movie takes the audience on a journey through the life of a police officer who becomes the central figure in a tale of personal challenges and unraveling a complex web of lies in a seemingly peaceful town. Suraj Singh Mas was the casting director of the movie and also acted in it.",Chittaranjan Giri; Rajesh Sharma,2020.0,2,True,
Alaap (2024 film),tt31995703,2024.0,"Alaap is a 2024 Indian Bengali-language romantic drama film written and directed by Premendu Bikash Chaki. Produced by Nispal Singh and Surinder Singh under the banner of Surinder Films, it stars Abir Chatterjee, Mimi Chakraborty and Swastika Dutta in the lead roles.",Abir Chatterjee; Mimi Chakraborty; Swastika Dutta,2020.0,3,True,Bengali
All India Rank,tt24973142,2024.0,"All India Rank is a 2023 Indian Hindi-language coming of age comedy drama film directed and written by Varun Grover and produced by Matchbox Shots. The film stars Bodhisattva Sharma in a lead role alongside Shashi Bhushan, Samta Sudiksha, Geeta Agarwal, and Sheeba Chaddha. It was the closing film at the 52nd IFFR. The film was released theatrically on 23 February 2024 to positive reviews from critics.",Sheeba Chaddha; Varun Grover,2020.0,2,True,Hindi
Alyad Palyad,tt32317640,2024.0,"Alyad Palyad is a 2024 Indian Marathi-language comedy horror film directed by Pritam SK Patil and produced by SMP Productions. The film starring Makarand Deshpande, Gaurav More, Sandeep Pathak, Saksham Kulkarni, Bhagyam Jain, Anushka Pimputkar, Suresh Vishwakarma, and Chinmay Udgirkar in lead roles.",,2020.0,0,True,Marathi
Article 370 (film),tt30970235,2024.0,"Article 370 is a 2024 Indian Hindi-language political action thriller film directed by Aditya Suhas Jambhale, who co-wrote the film with Aditya Dhar, Jambhale, Monal Thaakar and Arjun Dhawan. Produced by Jyoti Deshpande, Aditya Dhar, and Lokesh Dhar, the film stars Yami Gautam Dhar and Priyamani, alongside Skand Thakur, Ashwini Kaul, Vaibhav Tatwawadi, Arun Govil, and Kiran Karmarkar. The film was released worldwide on 23 February 2024.",Aditya Suhas Jambhale; Arun Govil; Kiran Karmarkar; Priyamani; Raj Arjun; Yami Gautam,2020.0,6,True,Hindi
Bachelor Party (2024 film),tt27424501,2024.0,"Bachelor Party is a 2024 Indian Kannada-language comedy film written and directed by Abhijit Mahesh and produced by Rakshit Shetty under Paramvah Studios. It stars Diganth Manchale, Yogesh and Achyuth Kumar in the lead roles. The music was composed by Arjun Ramu, while the cinematography and editing were handled by Arvind S. Kashyap and Abhishek M.",,2020.0,0,True,Kannada
Bastar: The Naxal Story,tt28221135,2024.0,"Bastar: The Naxal Story is a 2024 Indian Hindi-language political thriller film directed by Sudipto Sen and produced by Vipul Amrutlal Shah. It stars Adah Sharma, Indira Tiwari, Vijay Krishna, Shilpa Shukla, Yashpal Sharma, Subrat Dutta and Raima Sen.",,2020.0,0,True,Hindi
Bhool Bhulaiyaa 3,tt26932223,2024.0,"Bhool Bhulaiyaa 3 is a 2024 Indian Hindi-language Horror Comedy film directed by Anees Bazmee, written by Aakash Kaushik, and produced by T-Series Films and Cine1 Studios. It serves as the third installment of the eponymous franchise after Bhool Bhulaiyaa (2007) and Bhool Bhulaiyaa 2 (2022). It stars Kartik Aaryan, Vidya Balan, Madhuri Dixit and Triptii Dimri, and is set in Kolkata.",Anees Bazmee; Ashwini Kalsekar; Bhushan Kumar; Kartik Aaryan; Krishan Kumar; Madhuri Dixit; Rajesh Sharma; Rajpal Yadav; Sanjay Mishra; Tripti Dimri; Vidya Balan; Vijay Raaz,2020.0,12,True,Hindi
Birthmark (film),tt27996409,2024.0,,Mirnaa Menon; Shabeer Kallarakkal,2020.0,2,False,
Bohurupi,tt32857110,2024.0,"Bohurupi [transl. One with many forms, also Chameleon ] is a 2024 Indian Bengali-language vigilante heist action thriller film written by Nandita Roy and directed by Nandita Roy & Shiboprosad Mukherjee. The film stars Shiboprosad Mukherjee, Abir Chatterjee, Ritabhari Chakraborty and Koushani Mukherjee in the lead roles. Produced by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows, the film is based upon a chain of real life events in the timeline between 1998 and 2005.",Abir Chatterjee; Koushani Mukherjee; Nandita Roy; Ritabhari Chakraborty; Shiboprosad Mukherjee,2020.0,5,True,Bengali
Bramayugam,tt27431598,2024.0,,Amalda Liz; Arjun Ashokan; Chakravarthy Ramachandra; Mammootty; Manikandan R Achari; Rahul Sadasivan; S. Sashikanth; Sidharth Bharathan,2020.0,8,False,
CTRL (film),tt12736014,2024.0,,Vikramaditya Motwane,2020.0,1,False,
Captain Miller (film),tt22170036,2024.0,,Aditi Balan; Alexx O'Nell; Bala Saravanan; Bose Venkat; Dhanush; Edward Sonnenblick; Elango Kumaravel; Jayaprakash; John Kokken; Kaali Venkat; Nassar; Nivedhithaa Sathish; Priyanka Arul Mohan; Shiva Rajkumar; Sundeep Kishan; Viji Chandrasekhar; Vinoth Kishan,2020.0,17,False,
Case of Kondana,tt30429449,2024.0,,Bala Rajwadi; Bhavana; Kushee Ravi; Rangayana Raghu; Sundar Raj; Vijay Raghavendra,2020.0,6,False,
Chhota Bheem and the Curse of Damyaan (2024 film),tt29114624,2024.0,,Anupam Kher; Makarand Deshpande; Qaiser Sanober; Rajiv Chilaka; Yagya Bhasin,2020.0,5,False,
Crew (film),tt21383812,2024.0,,Anil Kapoor; Diljit Dosanjh; Ekta Kapoor; Kapil Sharma; Kareena Kapoor Khan; Kriti Sanon; Rajesh Krishnan; Rhea Kapoor; Tabu,2020.0,9,False,
Dabaru,tt28142599,2024.0,,Biswanath Basu; Chiranjeet; Deepankar De; Kaushik Sen; Kharaj Mukherjee; Pathikrit Basu; Rituparna Sengupta; Shankar Chakraborty,2020.0,8,False,
Deepavali Bonus,tt23052340,2024.0,,Riythvika; Vikranth,2020.0,2,False,
Double Engine (2024 film),tt30138535,2024.0,,Ajith Mohan; Camp Sasi; Gayathri Gupta; Muni Myatari; Raju Shivaratri; Rohit Penumatsa,2020.0,6,False,
Dunki (film),tt15428134,2024.0,"Dunki is a 2023 Indian Hindi-language adventure comedy drama film based on the illegal immigration technique donkey flight. The film is co-written, co-produced, edited and directed by Rajkumar Hirani, under Rajkumar Hirani Films, along with Jio Studios and Red Chillies Entertainment. It stars Taapsee Pannu, Shah Rukh Khan, Boman Irani and Vikram Kochar with Vicky Kaushal in an extended cameo appearance.",Amardeep Jha; Arun Bali; Boman Irani; Deven Bhojani; Gurpreet Ghuggi; Jyoti Subhash; Rajkumar Hirani; Rohitashv Gour; Shah Rukh Khan; Taapsee Pannu; Vicky Kaushal; Vikram Kochhar; Vikram Singh,2020.0,13,True,Hindi
EVOL (film),tt28226738,2024.0,,,2020.0,0,False,
Eagle (2024 film),tt28074691,2024.0,,,2020.0,0,False,
