title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Aamar Boss,tt30318492,2025.0,"Aamar Boss is a 2025 Indian Bengali-language drama film written, produced and directed by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows Production. The film stars Rakhee Gulzar, marking her comeback in Bengali cinema after twenty two years, Shiboprosad Mukherjee and Srabanti Chatterjee in lead roles, with Sauraseni Maitra, Aishwarya Sen, Shruti Das and Gourab Chatterjee in supporting roles.",Gourab Chatterjee; Kanchan Mullick; Nandita Roy; Rakhee Gulzar; Sabitri Chatterjee; Sauraseni Maitra; Shiboprosad Mukherjee; Srabanti Chatterjee,2020.0,8,True,Bengali
Aarii,tt35929295,2025.0,"Aarii is a 2025 Indian Bengali-language family drama film, written and directed by Jiit Chakraborty. Produced by Yash Dasgupta, Amitava Dey and Sreejit Mukherjee under YD Films, GSI Films and GP Entertainment, the film stars Moushumi Chatterjee as Jaya Sen, Yash Dasgupta as her son Joy Sen and Nusrat Jahan as Aditi, a writer who becomes involved in their lives. The narrative explores the sacrifices and emotional bonds between a widowed mother and her caregiver son. It was released theatrically on 25 April 2025. The film recived mixed to positive reviews from the critics and is a blockbuster at the Box Office.",Abhijit Guha; Kamaleshwar Mukherjee; Moushumi Chatterjee; Nussrat Jahan; Partha Bhowmick; Somraj Maity; Srabanti Chatterjee; Unmesh Gunguly; Yash Daasguptaa,2020.0,9,True,Bengali
Binodiini: Ekti Natir Upakhyan,tt21981402,2025.0,,Chandan Roy Sanyal; Kaushik Ganguly; Mir Afsar Ali; Om Sahani; Rahul Bose; Ram Kamal Mukherjee; Rukmini Maitra,2020.0,7,False,
Dragon (2025 film),tt32080876,2025.0,,Anupama Parameswaran; Ashwath Marimuthu; Pradeep Ranganathan,2020.0,3,False,
Felubakshi,tt31722467,2025.0,,Pori Moni; Soham Chakraborty,2020.0,2,False,
Killbill Society,tt35660545,2025.0,,Biswanath Basu; Koushani Mukherjee; Parambrata Chatterjee; Sandipta Sen; Shrikant Mohta; Srijit Mukherji,2020.0,6,False,
Omorshongi,tt35052587,2025.0,,Sohini Sarkar; Vikram Chatterjee,2020.0,2,False,
Parama: A Journey with Aparna Sen,tt31416811,2025.0,,,2020.0,0,False,
7/G,tt28755920,2024.0,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat. The film was released on 5 July 2024 to mixed-to-negative reviews.,Haroon,2020.0,1,True,Tamil
Adharma Kadhaigal,tt33075455,2024.0,"Adharma Kadhaigal is a 2024 Indian Tamil-language fantasy thriller drama film written and directed by Kamaraj Vel. The film stars Vetri, Sakshi Agarwal, Ammu Abhirami, and Dhivya Duraisamy in lead roles.",,2020.0,0,True,Tamil
Ajogyo,tt32308936,2024.0,"Ajogyo is a 2024 Indian Bengali language romantic thriller written and directed by Kaushik Ganguly. The film stars Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder and Lily Chakravarty in the lead roles. Ambarish Bhattacharya and Sudip Mukherjee play other pivotal roles. It is produced by Surinder Singh and Nispal Singh under the banner of Surinder Films.",Kaushik Ganguly; Prosenjit Chatterjee; Rituparna Sengupta,2020.0,3,True,Bengali
Alaap (2024 film),tt31995703,2024.0,"Alaap is a 2024 Indian Bengali-language romantic drama film written and directed by Premendu Bikash Chaki. Produced by Nispal Singh and Surinder Singh under the banner of Surinder Films, it stars Abir Chatterjee, Mimi Chakraborty and Swastika Dutta in the lead roles.",Abir Chatterjee; Mimi Chakraborty; Swastika Dutta,2020.0,3,True,Bengali
Aranam,tt29959080,2024.0,"Aranam is a 2024 Indian Tamil-language horror crime thriller film written and directed by Piriyan. The film stars Piriyan, Varsha Saravanakumar, and Laguparan in the lead roles. The film was produced under the banner of Thamizh Thiraikkoodam. The film was released on 5 January 2024.",,2020.0,0,True,Tamil
Athhoi,tt32241523,2024.0,"Athhoi is a 2024 Bengali romantic tragedy thriller film directed by Arna Mukhopadhyay. The film stars Anirban Bhattacharya, Arna Mukhopadhyay and Sohini Sarkar in lead roles. Produced by Jyoti Deshpande, Shrikant Mohta and Mahendra Soni under the banner of SVF and Jio Studios, the film is a contemporary retelling and modern adaptation of the epic Othello by William Shakespeare.",Anirban Bhattacharya; Sohini Sarkar,2020.0,2,True,
Ayalaan,tt7892066,2024.0,"Ayalaan ( transl. Alien) is a 2024 Indian Tamil-language science fiction film directed by R. Ravikumar and produced by KJR Studios. The film stars Sivakarthikeyan and Rakul Preet Singh in the lead roles, alongside Sharad Kelkar, Isha Koppikar, Karunakaran, Yogi Babu, David Broughton-Davies, Bhanupriya and Bala Saravanan, with Siddharth voicing the titular role. It follows Thamizh who teams up with Tattoo, an alien, to stop Aryan, a rogue scientist, from making a deadly Nova gas, which would endanger the Earth.",R. Ravikumar,2020.0,1,True,Tamil
Babli (film),tt33054695,2024.0,"Babli is a 2024 Bengali period romantic drama film co-written and directed by Raj Chakraborty, based on Buddhadeb Guha's novel of the same name. This film was released on 15 August 2024 under the banner of Raj Chakraborty Entertainment Productions. The film received positive reviews from critics.",Abir Chatterjee; Kaushik Sen; Raj Chakraborty; Sauraseni Maitra; Subhashree Ganguly,2020.0,5,True,
Bharkhama,tt31389684,2024.0,"Bharkhama is an Indian drama thriller film directed by S Sagar. It features an ensemble cast, including Shravan Sagar, Anjali Raghav, Rajveer Gurjar Bassi, Garima Kapoor, Sahil Chandel and Jitendra Chawdi.",Anjali Raghav; Junjaram Thory; Shravan Sagar,2020.0,3,True,
Bhootpori,tt12526976,2024.0,,Jaya Ahsan; Nispal Singh; Ritwick Chakraborty; Shantilal Mukherjee; Soukarya Ghosal; Sudipta Chakraborty,2020.0,6,False,
Boat (2024 film),tt28433919,2024.0,,Chimbu Deven,2020.0,1,False,
Boomerang (2024 film),tt29253812,2024.0,"Boomerang is a 2024 Indian Bengali-language science fiction comedy-drama film co-written and directed by Sauvik Kundu. Produced by Jeet, Gopal Madnani and Amit Jumrani under the banner of Jeetz Filmworks and Grassroot Entertainment, it stars Jeet himself and Rukmini Maitra in the lead, both portraying dual roles alongside an ensemble cast of Sourav Das, Rajatava Dutta, Kharaj Mukherjee, Ambarish Bhattacharya, Shyamal Chakraborty, Jhulan Bhattacharya, Ayesha Bhattacharya and Debchandrima Singha Roy, with Biswanath Basu in a special appearance.",Jeet; Rukmini Maitra,2020.0,2,True,Bengali
CTRL (film),tt12736014,2024.0,,Vikramaditya Motwane,2020.0,1,False,
Captain Miller (film),tt22170036,2024.0,,Aditi Balan; Alexx O'Nell; Bala Saravanan; Bose Venkat; Dhanush; Edward Sonnenblick; Elango Kumaravel; Jayaprakash; John Kokken; Kaali Venkat; Nassar; Nivedhithaa Sathish; Priyanka Arul Mohan; Shiva Rajkumar; Sundeep Kishan; Viji Chandrasekhar; Vinoth Kishan,2020.0,17,False,
Chaalchitro: The Frame Fatale,tt29548171,2024.0,,Anindita Bose; Anirban Chakraborty; Bratya Basu; Pratim D. Gupta; Priya Banerjee; Raima Sen; Shantanu Maheshwari; Swastika Dutta; Tota Roy Chowdhury,2020.0,9,False,
Dabaru,tt28142599,2024.0,,Biswanath Basu; Chiranjeet; Deepankar De; Kaushik Sen; Kharaj Mukherjee; Pathikrit Basu; Rituparna Sengupta; Shankar Chakraborty,2020.0,8,False,
Dard (2024 film),tt29674465,2024.0,,Anonno Mamun; Shakib Khan; Sonal Chauhan,2020.0,3,False,
Dear (film),tt24244300,2024.0,,,2020.0,0,False,
Deepavali Bonus,tt23052340,2024.0,,Riythvika; Vikranth,2020.0,2,False,
Eta Amader Golpo,tt29705562,2024.0,,Aparajita Auddy; Manasi Sinha; Saswata Chatterjee,2020.0,3,False,
Hitler (2024 film),tt29340778,2024.0,,,2020.0,0,False,
Hot Spot (film),tt31391056,2024.0,"Hot Spot is a 2024 Indian Tamil-language anthology film directed by Vignesh Karthick and starring Kalaiyarasan, Sofia, Sandy, Ammu Abhirami, Janani, Gouri G. Kishan, Subash and Adithya Bhaskar. The film was released on 29 March 2024 to positive reviews from critics but performed poorly at the box office.",Ammu Abhirami; Gouri Kishan; Janani Iyer; Kalaiyarasan; Vignesh Karthick,2020.0,5,True,Tamil
Hubba (film),tt28670752,2024.0,,Bratya Basu; Indraneil Sengupta; Mosharraf Karim,2020.0,3,False,
