title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Mrs. (film),tt27032419,2025.0,,,2020.0,0,False,
Phule (film),tt21108804,2025.0,,Alexx O'Nell; Amit Behl; Anant Mahadevan; Darsheel Safary; Joy Sengupta; Patralekha; Pratik Gandhi; Sushil Pandey; Vinay Pathak,2020.0,9,False,
Shotyi Bole Shotyi Kichhu Nei,tt35118088,2025.0,"Shotyi Bole Shotyi Kichhu Nei, also known by the initialism SBSKN, is a 2025 Indian Bengali-language legal thriller film written and directed by Srijit Mukherji. Produced by Shrikant Mohta and Mahendra Soni under the banner of Shree Venkatesh Films, the film is an official adaptation of the 1986 Hindi film Ek Ruka Hua Faisla, which is itself a remake of the American film 12 Angry Men (1957) directed by Sidney Lumet, which was an adaptation from a 1954 teleplay of the same name by Reginald Rose. It stars an ensemble cast of Kaushik Ganguly, Parambrata Chatterjee, Kaushik Sen, Ritwick Chakraborty, Anirban Chakrabarti, Ananya Chatterjee, Arjun Chakrabarty, Rahul Banerjee, Sauraseni Maitra, Kanchan Mullick, Phalguni Chatterjee and Suhotra Mukhopadhyay.",Ananya Chatterjee; Anirban Chakraborty; Arjun Chakrabarty; Kanchan Mullick; Kaushik Ganguly; Kaushik Sen; Koushik Kar; Parambrata Chatterjee; Rahul Banerjee; Ritwick Chakraborty; Sauraseni Maitra; Srijit Mukherji,2020.0,12,True,Bengali
Thandel,tt27907811,2025.0,"Thandel is a 2025 Indian Telugu-language romantic action thriller film written and directed by Chandoo Mondeti. Produced by Bunny Vasu under Geetha Arts, and starring Naga Chaitanya and Sai Pallavi. The film is based on a real-life incident that occurred in 2018, depicting how Pakistani forces captured a fisherman from Srikakulam in international waters.",Allu Aravind; Bunny Vasu; Chandoo Mondeti,2020.0,3,True,Telugu
Amar Singh Chamkila (film),tt26658272,2024.0,"Amar Singh Chamkila is a 2024 Indian Hindi-language biographical drama film based on the life of musician Amar Singh Chamkila. It is directed, produced and co-written by Imtiaz Ali. The film stars Diljit Dosanjh in the titular role, with Parineeti Chopra as his second wife, Amarjot.",Diljit Dosanjh; Imtiaz Ali; Nisha Bano; Parineeti Chopra; Rahul Mittra,2020.0,5,True,Hindi
Article 370 (film),tt30970235,2024.0,"Article 370 is a 2024 Indian Hindi-language political action thriller film directed by Aditya Suhas Jambhale, who co-wrote the film with Aditya Dhar, Jambhale, Monal Thaakar and Arjun Dhawan. Produced by Jyoti Deshpande, Aditya Dhar, and Lokesh Dhar, the film stars Yami Gautam Dhar and Priyamani, alongside Skand Thakur, Ashwini Kaul, Vaibhav Tatwawadi, Arun Govil, and Kiran Karmarkar. The film was released worldwide on 23 February 2024.",Aditya Suhas Jambhale; Arun Govil; Kiran Karmarkar; Priyamani; Raj Arjun; Yami Gautam,2020.0,6,True,Hindi
Bachelor Party (2024 film),tt27424501,2024.0,"Bachelor Party is a 2024 Indian Kannada-language comedy film written and directed by Abhijit Mahesh and produced by Rakshit Shetty under Paramvah Studios. It stars Diganth Manchale, Yogesh and Achyuth Kumar in the lead roles. The music was composed by Arjun Ramu, while the cinematography and editing were handled by Arvind S. Kashyap and Abhishek M.",,2020.0,0,True,Kannada
Bastar: The Naxal Story,tt28221135,2024.0,"Bastar: The Naxal Story is a 2024 Indian Hindi-language political thriller film directed by Sudipto Sen and produced by Vipul Amrutlal Shah. It stars Adah Sharma, Indira Tiwari, Vijay Krishna, Shilpa Shukla, Yashpal Sharma, Subrat Dutta and Raima Sen.",,2020.0,0,True,Hindi
Bhool Bhulaiyaa 3,tt26932223,2024.0,"Bhool Bhulaiyaa 3 is a 2024 Indian Hindi-language Horror Comedy film directed by Anees Bazmee, written by Aakash Kaushik, and produced by T-Series Films and Cine1 Studios. It serves as the third installment of the eponymous franchise after Bhool Bhulaiyaa (2007) and Bhool Bhulaiyaa 2 (2022). It stars Kartik Aaryan, Vidya Balan, Madhuri Dixit and Triptii Dimri, and is set in Kolkata.",Anees Bazmee; Ashwini Kalsekar; Bhushan Kumar; Kartik Aaryan; Krishan Kumar; Madhuri Dixit; Rajesh Sharma; Rajpal Yadav; Sanjay Mishra; Tripti Dimri; Vidya Balan; Vijay Raaz,2020.0,12,True,Hindi
Bohurupi,tt32857110,2024.0,"Bohurupi [transl. One with many forms, also Chameleon ] is a 2024 Indian Bengali-language vigilante heist action thriller film written by Nandita Roy and directed by Nandita Roy & Shiboprosad Mukherjee. The film stars Shiboprosad Mukherjee, Abir Chatterjee, Ritabhari Chakraborty and Koushani Mukherjee in the lead roles. Produced by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows, the film is based upon a chain of real life events in the timeline between 1998 and 2005.",Abir Chatterjee; Koushani Mukherjee; Nandita Roy; Ritabhari Chakraborty; Shiboprosad Mukherjee,2020.0,5,True,Bengali
C.D (Criminal or Devil),tt32424592,2024.0,"C.D is a 2024 Indian Telugu-language psychological thriller film directed by Krishna Annam and produced by Giridhar. It stars Adah Sharma, Viswant Duddumpudi, Mahesh Vitta, and Bharani Shankar as lead actors.",,2020.0,0,True,Telugu
Dukaan,tt15458936,2024.0,"Dukaan is a 2024 Hindi-language comedy drama film written and directed by Siddharth Singh and Garima Wahal, and produced by S K Ahluwalia, Siddharth Singh, Garima Wahal, and Srujan Yarabolu, under the banner of Waveband Productions and Kalamkaar Picture Productions. The film features Monika Panwar, Monali Thakur and Soham Majumdar as the lead characters.",Monali Thakur; Monika Panwar; Vrajesh Hirjee,2020.0,3,True,Hindi
Fighter (2024 film),tt13818368,2024.0,"Fighter is a 2024 Indian Hindi-language action drama film directed by Siddharth Anand, based on a story he wrote with Ramon Chibb. Produced by Viacom18 Studios and Marflix Pictures, it stars Hrithik Roshan, Deepika Padukone, and Anil Kapoor, while Karan Singh Grover, Akshay Oberoi and Rishabh Sawhney play supporting roles. The film is the first installment in a planned aerial action franchise.",Akshay Oberoi; Anil Kapoor; Birol Tarkan Yildiz; Deepika Padukone; Hrithik Roshan; Karan Singh Grover; Ramon Chibb; Sanjeeda Sheikh; Sharib Hashmi; Siddharth Anand; Talat Aziz,2020.0,11,True,Hindi
Gaami,tt27657791,2024.0,"Gaami (transl. Seeker) is a 2024 Indian Telugu-language epic adventure thriller film written and directed by debutant Vidyadhar Kagita. The film features Vishwak Sen, Chandini Chowdary, Abhinaya, Harika Pedada and Mohammad Samad in primary roles. Initially started with a crowd-funding campaign, it was produced by Karthik Sabareesh, under Karthik Kult.",Abhinaya; Chandini Chowdary; Mohammad Samad; Shanthi Rao; Vidyadhar Kagita; Vishwak Sen,2020.0,6,True,Telugu
Girls Will Be Girls (2024 film),tt18277182,2024.0,"Girls Will Be Girls is a 2024 coming-of-age drama film, written and directed by Shuchi Talati. It stars Preeti Panigrahi, Kani Kusruti, and Kesav Binoy Kiron. An Indian and French co-production, the film is Talati's feature directorial debut, as well as the acting debut of both Panigrahi and Kiron. The film is set in a boarding school in the Himalayan foothills, and centers around teenager Mira's romance with a charming new student, her subsequent sexual awakening, and at times strained relationship with her protective mother.",Claire Chassagne; Kani Kusruti; Preeti Panigrahi; Richa Chadha; Shuchi Talati,2020.0,5,True,
Hot Spot (film),tt31391056,2024.0,"Hot Spot is a 2024 Indian Tamil-language anthology film directed by Vignesh Karthick and starring Kalaiyarasan, Sofia, Sandy, Ammu Abhirami, Janani, Gouri G. Kishan, Subash and Adithya Bhaskar. The film was released on 29 March 2024 to positive reviews from critics but performed poorly at the box office.",Ammu Abhirami; Gouri Kishan; Janani Iyer; Kalaiyarasan; Vignesh Karthick,2020.0,5,True,Tamil
Indian 2,tt8066940,2024.0,"Indian 2 is a 2024 Indian Tamil-language vigilante action film directed by S. Shankar, who co-wrote the script with B. Jeyamohan, Kabilan Vairamuthu and Lakshmi Saravana Kumar. The film is jointly produced by Lyca Productions and Red Giant Movies. It is the second instalment in the Indian trilogy and sequel to Indian (1996). Kamal Haasan reprises his role as Senapathy, an aging freedom fighter turned vigilante who fights against corruption, with an ensemble cast including Siddharth, Rakul Preet Singh, Priya Bhavani Shankar, Vivek, S. J. Suryah, Samuthirakani, Bobby Simha, Nedumudi Venu, Delhi Ganesh, Manobala, Jagan, Kalidas Jayaram and Gulshan Grover. In the film, set years after the events in Indian, Senapathy returns from abroad to aid Chitra Aravindhan and his team, to deal with corruption in the country.",S. Shankar; Subaskaran Allirajah,2020.0,2,True,Tamil
Kaam Chalu Hai,tt30783769,2024.0,,Giaa Manek; Palash Muchhal; Rajpal Yadav,2020.0,3,False,
Kaliachak Chapter 1,tt32523329,2024.0,,,2020.0,0,False,
Kalki 2898 AD,tt12735488,2024.0,,Amitabh Bachchan; Aswani Dutt; Deepika Padukone; Disha Patani; Kamal Haasan; Nag Ashwin; Prabhas,2020.0,7,False,
Khadaan,tt30701950,2024.0,"Khadaan ( transl. Quarry) is a 2024 Indian Bengali-language action thriller film written and directed by Soojit Rino Dutta. Produced by Nispal Singh and Dev under the banners of Surinder Films and Dev Entertainment Ventures respectively, the film stars Dev in dual roles, alongside Jisshu Sengupta in the lead, with an ensemble cast of Anirban Chakrabarti, Barkha Bisht, Idhika Paul, John Bhattacharya, Partha Sarathi Chakraborty, Sneha Bose, Sujan Neel Mukherjee, Sumit Ganguly and Raja Dutta. In the film, an ordinary fair organizer from a coal mine near the Damodar Valley, is recruited by his dead father's like-minded friend to be a partner in his coal syndicate, and there the former discovers the truth on some unfolded events.",Anirban Chakraborty; Barkha Bisht; Deepak Adhikari; Idhika Paul; Jisshu Sengupta,2020.0,5,True,Bengali
