title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Shotyi Bole Shotyi Kichhu Nei,tt35118088,2025.0,"Shotyi Bole Shotyi Kichhu Nei, also known by the initialism SBSKN, is a 2025 Indian Bengali-language legal thriller film written and directed by Srijit Mukherji. Produced by Shrikant Mohta and Mahendra Soni under the banner of Shree Venkatesh Films, the film is an official adaptation of the 1986 Hindi film Ek Ruka Hua Faisla, which is itself a remake of the American film 12 Angry Men (1957) directed by Sidney Lumet, which was an adaptation from a 1954 teleplay of the same name by Reginald Rose. It stars an ensemble cast of Kaushik Ganguly, Parambrata Chatterjee, Kaushik Sen, Ritwick Chakraborty, Anirban Chakrabarti, Ananya Chatterjee, Arjun Chakrabarty, Rahul Banerjee, Sauraseni Maitra, Kanchan Mullick, Phalguni Chatterjee and Suhotra Mukhopadhyay.",Ananya Chatterjee; Anirban Chakraborty; Arjun Chakrabarty; Kanchan Mullick; Kaushik Ganguly; Kaushik Sen; Koushik Kar; Parambrata Chatterjee; Rahul Banerjee; Ritwick Chakraborty; Sauraseni Maitra; Srijit Mukherji,2020.0,12,True,Bengali
Khel Khel Mein (2024 film),tt27056012,2024.0,"Khel Khel Mein is a 2024 Indian Hindi-language comedy drama film written and directed by Mudassar Aziz. Based on the 2016 Italian film Perfect Strangers, the film stars Akshay Kumar, Taapsee Pannu, Vaani Kapoor, Ammy Virk, Aditya Seal, Pragya Jaiswal and Fardeen Khan.",Aditya Seal; Akshay Kumar; Ammy Virk; Fardeen Khan; Muddassar Aziz; Pragya Jaiswal; Taapsee Pannu; Vaani Kapoor,2020.0,8,True,Hindi
Sitaare Zameen Par (film),tt29471573,2024.0,"Sitaare Zameen Par, is an upcoming Indian Hindi-language sports comedy drama film directed by R. S. Prasanna, and produced by Aamir Khan and Aparna Purohit. A sequel to Khan's 2007 film Taare Zameen Par, it is based on the Spanish film Champions (2018) and stars Khan and Genelia Deshmukh.",Aamir Khan; Darsheel Safary; Genelia D'Souza; R.S. Prasanna,2020.0,4,True,Hindi
1001 Nunakal,tt16103640,2023.0,"1001 Nunakal, also known as Aayirathonnu Nunakal, is a 2022 Indian Malayalam-language drama film directed by Thamar KV in his directorial debut and produced by Salim Ahamed. The film premiered in the Malayalam Cinema Today category at the 27th International Film Festival of Kerala in December 2022. The plot revolves around a group of friends who decide to play a game of truth or dare at a wedding anniversary party. Critics have noted the plot setting being similar to that of 2016 Italian film Perfect Strangers.",Salim Ahamed,2020.0,1,True,Malayalam
Blind (2023 film),tt5316648,2023.0,"Blind is a 2023 Indian Hindi-language crime thriller film directed by Shome Makhija and produced by Sujoy Ghosh, Avishek Ghosh, Hyunwoo Thomas Kim, Sachin Nahar, Pinkesh Nahar and Manish W. The film features Sonam Kapoor in a leading role with Purab Kohli, Vinay Pathak and Lillete Dubey in supporting roles. Blind, a remake of the 2011 Korean film of the same name, centres around a blind police officer in search of a serial killer. The principal photography began on 28 December 2020 in Glasgow, Scotland and wrapped up on 13 February 2021. The film premiered on 7 July 2023 on JioCinema. The film received negative reviews from critics and audience.",,2020.0,0,True,Hindi
Farrey,tt29301456,2023.0,"Farrey is a 2023 Indian Hindi-language heist thriller film directed by Soumendra Padhi. It stars Alizeh Agnihotri in the lead role with Ronit Roy, Sahil Mehta, Zeyn Shaw, Prasanna Bisht, Juhi Babbar and Shilpa Shukla. It is an official remake of the 2017 Thai film Bad Genius.",Alizeh Agnihotri; Alvira Khan Agnihotri; Arbaaz Khan; Atul Agnihotri; Juhi Babbar; Ronit Roy; Sahil Mehta; Shilpa Shukla,2020.0,8,True,Hindi
Gol Gappe (film),tt11912042,2023.0,"Gol Gappe is a 2023 Indian Punjabi-language comedy film directed by Smeep Kang. It stars Binnu Dhillon, Rajat Bedi, Ihana Dhillon, Navneet Kaur Dhillon and B. N. Sharma. The film is produced under the banner of Zee Studios, Triflix Entertainment LLP, Janvi Productions, Soham Rockstar Entertainment. The film is a remake of 1989 Malayalam film Ramji Rao Speaking.",B. N. Sharma; Binnu Dhillon; Ihana Dhillon; Navneet Kaur Dhillon; Rajat Bedi; Smeep Kang,2020.0,6,True,Punjabi
Jaane Jaan (2023 film),tt15748830,2023.0,"Jaane Jaan, released internationally as Suspect X, is a 2023 Indian Hindi-language mystery thriller film written and directed by Sujoy Ghosh. The film is an adaptation of the 2005 Japanese novel The Devotion of Suspect X by Keigo Higashino, which had earlier been made into the 2012 South Korean film Perfect Number by Bang Eun-jin. The film is produced under the banner 12th Street Entertainment and Northern Lights Films in association with Kross Pictures and Balaji Motion Pictures. It stars Kareena Kapoor Khan as a single mother involved in a murder, alongside Jaideep Ahlawat and Vijay Varma. It released on 21 September 2023 on Netflix, to positive reviews from film critics, with particular praise directed towards the performances of the lead cast.",Ekta Kapoor; Jaideep Ahlawat; Kareena Kapoor Khan; Lin Laishram; Saurabh Sachdeva; Shobha Kapoor; Sujoy Ghosh; Vijay Varma,2020.0,8,True,Hindi
Leo (2023 Indian film),tt15654328,2023.0,"Leo is a 2023 Indian Tamil-language action thriller film directed by Lokesh Kanagaraj and produced by Seven Screen Studio. The film stars Vijay in the titular role, alongside Sanjay Dutt, Arjun, Trisha, Gautham Vasudev Menon, Mysskin, Madonna Sebastian, George Maryan, Mansoor Ali Khan, Priya Anand and Mathew Thomas. It is the third instalment in the Lokesh Cinematic Universe and is partially inspired by the film A History of Violence. The film follows Parthi, a man in Theog, who gains the attention of gangsters Antony and Harold Das who suspect him to be Antony's estranged son, Leo.",Abhirami Venkatachalam; Arjun Sarja; Babu Antony; Gautham Vasudev Menon; George Maryan; Lalit Kumar; Lokesh Kanagaraj; Mansoor Ali Khan; Mathew Thomas; Mysskin; Priya Anand; Rathna Kumar; Sanjay Dutt; Trisha Krishnan; Vijay,2020.0,15,True,Tamil
Yadha Yadha Hi,tt27811636,2023.0,"Yadha Yadha Hi is a 2023 Indian Kannada-language crime thriller film directed by Ashok Teja. The film was produced by Rajesh Agarwal under Guys & Dolls Creations. The film stars Diganth Manchale, Vasishta N. Simha and Hariprriya, in the lead roles, alongside Avinash, Swathi, and Manju Pavagada in supporting roles. The music was composed by Sricharan Pakalanand Harshavardhan Raj. The film is a remake of 2019 Telugu film Evaru, directed by Venkat Ramji, which itself was loosely based on the 2016 Spanish film The Invisible Guest (2016) by Oriol Paulo.",Diganth; Hariprriya; Vasishta N. Simha,2020.0,3,True,Kannada
